순번,본부명,소방서,주소,전화번호,FAX,latitude,longitude
104,경기북부소방재난본부,남양주소방서,경기도 남양주시 평내로 25,031-590-0102,031-280-8646,37.6431633,127.2324425
105,경기북부소방재난본부,동두천소방서,경기도 동두천시 지행로 6,031-830-5100,031-280-8510,37.89254848,127.0568256
106,경기북부소방재난본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8100,031-280-8833,37.79598875,126.9893696
107,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0100,031-830-0219,38.04385383,127.0683617
108,경기북부소방재난본부,의정부소방서,경기도 의정부시 금오로23번길 22-40,031-849-7100,031-280-8636,37.75488805,127.06804
109,경기북부소방재난본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0102,031-280-8564,37.66324685,126.7697074
110,경기북부소방재난본부,파주소방서,경기도 파주시 통일로 1564,031-956-9100,031-956-9219,37.84660382,126.7894368
111,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538 ,031-538-5100,031-280-8747,37.89115146,127.2017863
112,강원소방본부,강릉소방서,강원특별자치도 강릉시 선수촌로 64-28,033-643-3119,033-610-8209,37.75380572,128.8659556
113,강원소방본부,고성소방서,강원특별자치도 고성군 간성읍 수성로 37-11,033-680-7212,033-680-7209,38.37845349,128.4640825
114,강원소방본부,동해소방서,강원특별자치도 동해시 천곡로 120,033-533-2119,033-530-8209,37.52456827,129.1174966
115,강원소방본부,삼척소방서,강원특별자치도 삼척시 봉황로 101,033-570-8212,033-570-8209,37.44581112,129.1707992
116,강원소방본부,속초소방서,강원특별자치도 속초시 미시령로 3226,033-630-2212,033-630-2209,38.20430205,128.5618773
117,강원소방본부,양구소방서,강원특별자치도 양구군 양구읍 중심로 92,033-480-4212,033-480-4209,38.09696753,127.9945231
118,강원소방본부,양양소방서,강원특별자치도 양양군 양양읍 남대천로 33,033-639-7212,033-639-7209,38.06619387,128.6195439
119,강원소방본부,영월소방서,강원특별자치도 영월군 영월읍 영월로 1863,033-371-7212,033-371-7209,37.19485992,128.4542666
120,강원소방본부,원주소방서,강원특별자치도 원주시 동부순환로 201(반곡동),033-763-4119,033-769-1209,37.33371974,127.9731329
121,강원소방본부,인제소방서,강원특별자치도 인제군 인제읍 비봉로 44번길 71,033-460-9212,033-460-9209,38.06131629,128.1686327
122,강원소방본부,정선소방서,강원특별자치도 정선군 정선읍 녹송로 27,033-560-6212,033-560-6209,37.38075765,128.6720552
123,강원소방본부,철원소방서,강원특별자치도 철원군 갈말읍 태봉로 1504,033-450-2212,033-450-2209,38.18491226,127.3041568
124,강원소방본부,춘천소방서,강원특별자치도 춘천시 후석로 446,033-241-0119,033-248-9209,37.88311322,127.7478618
125,강원소방본부,태백소방서,강원특별자치도 태백시 태백로 1120,033-550-8212,033-550-8209,37.09751479,129.0159952
126,강원소방본부,평창소방서,강원특별자치도 평창군 평창읍 살구실길 10,033-339-8100,033-339-8209,37.37813179,128.3893009
127,강원소방본부,홍천소방서,강원특별자치도 홍천군 홍천읍 공작산로 99,033-439-2212,033-439-2209,37.69383269,127.8940186
128,강원소방본부,화천소방서,강원특별자치도 화천군 하남면 위라리길 47,033-440-7212,033-440-7209,38.09780705,127.7133901
129,강원소방본부,횡성소방서,강원특별자치도 횡성군 횡성읍 문예로 157,033-340-9212,033-340-9209,37.4935472,127.9797751
130,충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61,043-251-0104,043-251-0115,36.62830207,127.4916552
131,충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 가경로 143,043-249-9201,043-249-9265,36.63057329,127.4358739
132,충북소방본부,충주소방서,충청북도 충주시 목행산단7로 9,043-841-3100,043-841-3119,37.00431342,127.9217529
133,충북소방본부,제천소방서,충청북도 제천시 신죽하로 164,043-641-7201,043-641-7139,37.15871956,128.2236363
134,충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4415,043-773-0100,043-773-0119,36.46529541,127.7279325
135,충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 중앙로 132,043-730-1800,043-730-1819,36.29926887,127.5685092
136,충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7000,043-740-7019,36.16545777,127.788267
137,충북소방본부,증평소방서,충청북도 증평군 충청대로 1789,043-830-0100,043-830-0151,36.78071863,127.5688241
138,충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8110,043-539-8129,36.87039187,127.4413538
139,충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0100,043-760-0129,36.80935116,127.796441
140,충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0201,043-880-0199,36.99097868,127.595162
141,충북소방본부,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56,043-767-4100,043-767-4119,36.9896086,128.3566722
142,충남소방본부,계룡소방서,충청남도 계룡시 엄사면 문화로 32,042-540-5200,042-540-5219,36.27431377,127.2328318
143,충남소방본부,공주소방서,충청남도 공주시 무령로 55,041-851-0201,041-851-0219,36.45677563,127.1359325
144,충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1201,041-750-1219,36.09488812,127.4839377
145,충남소방본부,논산소방서,충청남도 논산시 대학로 17,041-730-0201,041-730-0219,36.1782677,127.1003892
146,충남소방본부,당진소방서,충청남도 당진시 역천로 838,041-350-5201,041-350-5219,36.82336914,126.6012245
147,충남소방본부,보령소방서,충청남도 보령시 성주산로 63,041-930-0201,041-930-0219,36.33276253,126.6085295
148,충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17,041-830-0200,041-830-0219,36.27605392,126.9003534
149,충남소방본부,서산소방서,충청남도 서산시 호수공원 14로 26-4,041-689-0200,041-689-0219,36.77330317,126.4449059
150,충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0201,041-955-0219,36.0135189,126.6829559
151,충남소방본부,아산소방서,충청남도 아산시 모종로 77,041-538-0201,041-538-0219,36.78610885,127.0255772
152,충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4201,041-330-4219,36.68800221,126.7976255
153,충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0201,041-570-0219,36.79390875,127.1646436
154,충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단2길 32,041-360-0200,041-360-0219,36.86263035,127.1161816
155,충남소방본부,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7201,041-940-7219,36.47248516,126.7964679
156,충남소방본부,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0201,041-671-0219,36.74485825,126.3120163
157,충남소방본부,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0200,041-630-0219,36.58658211,126.6949198
158,전북소방본부,전주완산소방서,전북특별자치도 전주시 완산구 거마평로 73,063-220-4201,063-289-1020,35.79888885,127.1163208
159,전북소방본부,전주덕진소방서,전북특별자치도 전주시 덕진구 백제대로 611,063-250-4201,063-250-4229,35.84267235,127.1378598
160,전북소방본부,군산소방서,전북특별자치도 군산시 번영로 308,063-450-0201,063-289-1040,35.96254975,126.7508047
161,전북소방본부,익산소방서,전북특별자치도 익산시 무왕로 1338,063-839-3201,063-839-3219,35.97098665,127.0283796
162,전북소방본부,정읍소방서,전북특별자치도 정읍시 서부산업도로 507-5,063-570-1201,063-289-1080,35.56053161,126.8340804
163,전북소방본부,남원소방서,전북특별자치도 남원시 요천로 1965,063-625-2119,063-630-8381,35.50000643,127.5031502
164,전북소방본부,김제소방서,전북특별자치도 김제시 벽성로 278,063-540-4201,063-289-1100,35.8100327,126.884131
165,전북소방본부,완주소방서,전북특별자치도 완주군 삼례읍 삼봉로 518,063-290-0201,063-289-1110,35.918162,127.0835212
166,전북소방본부,진안소방서,전북특별자치도 진안군 진안읍 쇠징계로 9,063-786-5201,063-289-1160,35.80219382,127.434357
167,전북소방본부,무주소방서,전북특별자치도 무주군 무주읍 당산강변로 126,063-780-3201,063-289-1170,36.0027687,127.6549533
168,전북소방본부,장수소방서,전북특별자치도 장수군 장계면 육십령로 136,063-350-6201,063-289-1140,35.737595,127.5770819
169,전북소방본부,임실소방서,전북특별자치도 임실군 임실읍 감천로 33,063-778-2201,063-289-1180,35.6061527,127.2912172
170,전북소방본부,순창소방서,전북특별자치도 순창군 순창읍 교성로 24,063-650-9201,063-289-1150,35.37160911,127.1359327
171,전북소방본부,고창소방서,전북특별자치도 고창군 고창읍 녹두로 1294,063-560-1201,063-289-1120,35.43522031,126.6719537
172,전북소방본부,부안소방서,전북특별자치도 부안군 행안면 변산로 86,063-580-1201,063-289-1130,35.730038,126.7120133
173,전남소방본부,목포소방서,전라남도 목포시 삼향천로 110,061-280-0900,061-280-0740,34.80760961,126.4316286
174,전남소방본부,여수소방서,전라남도 여수시 망마로 20,061-680-0900,061-680-0740,34.76002385,127.6652228
175,전남소방본부,순천소방서,전라남도 순천시 서면 삼산로 281,061-750-0701,061-750-0740,34.98672403,127.5038458
176,전남소방본부,나주소방서,전라남도 나주시 예향로 4201,061-330-0701,061-330-0740,34.98681192,126.704375
177,전남소방본부,광양소방서,전라남도 광양시 중마중앙로 109,061-798-0701,061-798-0740,34.94007405,127.6977004
178,전남소방본부,담양소방서,전라남도 담양군 담양읍 추성로 1232,061-380-0701,061-380-0740,35.32016375,126.9881351
179,전남소방본부,곡성소방서,전라남도 곡성군 곡성읍 학교로 7,061-357-0701,061-357-0740,35.27753824,127.2897023
180,전남소방본부,구례소방서,전라남도 구례군 구례읍 양정4길 37,061-749-0701,061-749-0740,35.20278861,127.4689297
181,전남소방본부,고흥소방서,전라남도 고흥군 풍양면 고흥로 1330,061-840-0701,061-840-0740,34.5753506,127.2401659
182,전남소방본부,보성소방서,전라남도 보성군 벌교읍 녹색로 5247,061-859-0701,061-859-0740,34.8369121,127.3483346
183,전남소방본부,화순소방서,전라남도 화순군 화순읍 학포로 2750,061-379-0701,061-379-0740,35.05011518,126.9670996
184,전남소방본부,장흥소방서,전라남도 장흥군 장흥읍 북부로 138,061-850-0701,061-850-0740,34.6873347,126.9111246
185,전남소방본부,강진소방서,전라남도 강진군 군동면 중앙로 223,061-430-0701,061-430-0740,34.64322833,126.7809263
186,전남소방본부,해남소방서,전라남도 해남군 해남읍 교육청길 82,061-530-0701,061-530-0740,34.56621756,126.6078536
187,전남소방본부,영암소방서,전라남도 영암군 삼호읍 나불로 192,061-460-0701,061-460-0740,34.76970323,126.4481711
188,전남소방본부,무안소방서,전라남도 무안군 무안읍 공항로 133,061-450-0701,061-450-0740,34.99367736,126.4747299
189,전남소방본부,함평소방서,전라남도 함평군 대동면 학동로 386,061-338-0701,061-338-0740,35.12331025,126.4998077
190,전남소방본부,영광소방서,전라남도 영광군 영광읍 함영로 3508,061-350-0701,061-350-0740,35.25810376,126.504933
191,전남소방본부,장성소방서,전라남도 장성군 장성읍 단풍로 204,061-360-0701,061-360-0740,35.3205866,126.7997562
192,전남소방본부,완도소방서,전라남도 완도군 농공단지길 7,061-470-0701,061-470-0740,34.33827172,126.7303623
193,전남소방본부,진도소방서,전라남도 진도군 진도읍 진도대로 6935,061-540-0701,061-540-0740,34.47860814,126.2528544
194,전남소방본부,신안소방서,전라남도 신안군 암태면 승봉로 17,061-241-0701,061-241-0740,34.82343123,126.096473
195,경북소방본부,경산소방서,경상북도 경산시 압량읍 김유신로 12,053-819-6200,053-812-4119,35.83834935,128.7695123
196,경북소방본부,경주소방서,경상북도 경주시 알천남로 276,054-778-0500,054-778-0529,35.8422766,129.2337149
197,경북소방본부,고령소방서,경상북도 고령군 대가야읍 벽화길 18,054-950-8000,054-950-8029,35.72402262,128.2686977
198,경북소방본부,구미소방서,경상북도 구미시 수출대로112,054-463-9680,054-440-0129,36.10995626,128.3762013
199,경북소방본부,김천소방서,경상북도 김천시 강변로 219,054-420-5800,054-436-2490,36.12183626,128.1299417
200,경북소방본부,문경소방서,경상북도 문경시 중앙로 305,054-559-1800,054-559-1829,36.59689863,128.2005168
201,경북소방본부,봉화소방서,경상북도 봉화군 봉화읍 내성천3길 152,054-679-3114,054-679-3159,36.89221688,128.715296
202,경북소방본부,상주소방서,경상북도 상주시 경상대로 3203-11,054-530-3700,054-530-3729,36.43353245,128.1515025
203,경북소방본부,성주소방서,경상북도 성주군 성주읍 주산로 193,054-930-5513,054-931-7119,35.93194261,128.300026
204,경북소방본부,안동소방서,경상북도 안동시 육사로 301,054-857-7119,,36.55767625,128.7125475
205,경북소방본부,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401,054-730-1500,054-730-1509,36.43279887,129.3562955
206,경북소방본부,영주소방서,경상북도 영주시 문수면 적서로 448번길 17,054-630-0301,054-630-0329,36.791976,128.6331219
207,경북소방본부,영천소방서,경상북도 영천시 호국로 187,054-339-6801,054-334-6119,35.98781783,129.1119857
208,경북소방본부,예천소방서,경상북도 예천군 예천읍 양궁로 61-12,054-650-3400,054-650-3429,36.64766101,128.4617904
209,경북소방본부,울진소방서,경상북도 울진군 울진읍 울진북로 508,054-780-1300,054-780-1329,36.99624015,129.3949248
210,경북소방본부,의성소방서,경상북도 의성군 봉양면 경북대로 4741,054-830-7700,054-830-7729,36.26596198,128.5723884
211,경북소방본부,청도소방서,경상북도 청도군 청도읍 중앙로 192-34,054-370-8214,054-370-8229,35.64342185,128.7462716
212,경북소방본부,청송소방서,경상북도 청송군 청송읍 굿바들길 19,054-870-2913,054-870-2929,36.4212912,129.0592269
213,경북소방본부,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216,054-970-2700,054-970-2729,35.9925692,128.3872535
214,경북소방본부,포항남부소방서,경상북도 포항시 남구 동해안로 5890,054-288-0800,054-288-0809,35.89372729,129.5242321
215,경북소방본부,포항북부소방서,경상북도 포항시 북구 중앙로 332,054-260-2101,054-260-2129,36.0335938,129.3657488
216,경남소방본부,거제소방서,경남 거제시 진목로 1,055-689-9200,055-689-9219,34.89615145,128.6861734
217,경남소방본부,거창소방서,경남 거창군 거창읍 거함대로 3324,055-940-9200,055-940-9219,35.68355435,127.8947674
218,경남소방본부,고성소방서,경남 고성군 남해안대로 2670,055-670-9200,055-670-9219,35.10061624,128.3886265
219,경남소방본부,김해동부소방서,김해시 김해대로 2507,055-320-9200,055-320-9219,35.22141048,128.9291446
220,경남소방본부,김해서부소방서,김해시 진례면 서부로 730,055-344-9215,055-344-9219,35.23780465,128.75525
221,경남소방본부,남해소방서,경남 남해군 남해읍 스포츠로 81,055-860-9200,055-860-9219,34.82085187,127.8859149
222,경남소방본부,밀양소방서,경상남도 밀양시 밀양대공원로 66,055-350-9200,055-350-9219,35.49676193,128.7595721
223,경남소방본부,사천소방서,경남 사천시 남일로 29,055-830-9200,055-830-9219,34.9332925,128.0798148
